plotId	plotName	plotTypeSimulation	plotTypeData	datasetId	xValues	xOffset	yValues	yOffset	yLabel	legendEntry	xScale	yScale
plot1	JI09_150302_Drg345_343_CycNuc	LinePlot	MeanAndSD	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	fourABnOH_incubation_time	0	pRII_Microscopy	0	pRII_Microscopy	4-ABnOH/Ctrl	lin	lin
plot1	JI09_150302_Drg345_343_CycNuc	LinePlot	MeanAndSD	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	fourABnOH_incubation_time	0	pRII_Microscopy	0	pRII_Microscopy	4-ABnOH/Fsk(10)	lin	lin
plot1	JI09_150302_Drg345_343_CycNuc	LinePlot	MeanAndSD	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	Rp_cAMPS_pAB_incubation_time	0	pRII_Microscopy	0	pRII_Microscopy	Rp-cAMPS-pAB/Ctrl	lin	lin
plot1	JI09_150302_Drg345_343_CycNuc	LinePlot	MeanAndSD	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	Rp_cAMPS_pAB_incubation_time	0	pRII_Microscopy	0	pRII_Microscopy	Rp-cAMPS-pAB/Fsk(10)	lin	lin
plot2	JI09_150302_Drg345_343_CycNuc	LinePlot	replicate	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	fourABnOH_incubation_time	0	pRII_Microscopy	0	pRII_Microscopy	4-ABnOH/Ctrl	lin	lin
plot2	JI09_150302_Drg345_343_CycNuc	LinePlot	replicate	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	fourABnOH_incubation_time	0	pRII_Microscopy	0	pRII_Microscopy	4-ABnOH/Fsk(10)	lin	lin
plot2	JI09_150302_Drg345_343_CycNuc	LinePlot	replicate	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	Rp_cAMPS_pAB_incubation_time	0	pRII_Microscopy	0	pRII_Microscopy	Rp-cAMPS-pAB/Ctrl	lin	lin
plot2	JI09_150302_Drg345_343_CycNuc	LinePlot	replicate	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	Rp_cAMPS_pAB_incubation_time	0	pRII_Microscopy	0	pRII_Microscopy	Rp-cAMPS-pAB/Fsk(10)	lin	lin
plot3	JI09_160201_Drg453-452_CycNuc	LinePlot	MeanAndSD	JI09_160201_Drg453-452_CycNuc__ctrl	time	0	Calpha_Microscopy	0	Calpha_Microscopy	Ctrl	lin	lin
plot3	JI09_160201_Drg453-452_CycNuc	LinePlot	MeanAndSD	JI09_160201_Drg453-452_CycNuc__Fsk	time	0	Calpha_Microscopy	0	Calpha_Microscopy	Fsk(10)	lin	lin
plot3	JI09_160201_Drg453-452_CycNuc	LinePlot	MeanAndSD	JI09_160201_Drg453-452_CycNuc__Sp8_Br_cAMPS_AM	time	0	Calpha_Microscopy	0	Calpha_Microscopy	Sp8-Br-cAMPS-AM(10)	lin	lin
plot4	JI09_160201_Drg453-452_CycNuc	LinePlot	replicate	JI09_160201_Drg453-452_CycNuc__ctrl	time	0	Calpha_Microscopy	0	Calpha_Microscopy	Ctrl	lin	lin
plot4	JI09_160201_Drg453-452_CycNuc	LinePlot	replicate	JI09_160201_Drg453-452_CycNuc__Fsk	time	0	Calpha_Microscopy	0	Calpha_Microscopy	Fsk(10)	lin	lin
plot4	JI09_160201_Drg453-452_CycNuc	LinePlot	replicate	JI09_160201_Drg453-452_CycNuc__Sp8_Br_cAMPS_AM	time	0	Calpha_Microscopy	0	Calpha_Microscopy	Sp8-Br-cAMPS-AM(10)	lin	lin
